DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
1 , 66 , 113 , 120 , 151 , 192 , 248 , " (0) [0,1] " , " (3.71667) [3,4] " , " (1) [1,2] " , " (3.35) [3,4] " , " (836.513) [42000,72800] " , " (2.14667) [1,3] " , " (247.385) [50,455] " , " (2) [1,2] " , " (2809.11) [1000,4000] " , " (2.27) [0,7] " , " (2180.35) [2000,2350] " , " (1) [1,2] " , " (25.5937) [15,30] " , " (12.4193) [616,1008] " , " (2.49333) [2,4] " , " (1.66) [1,2] " , " (8.32333) [8,9] " , " (1.15) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (108.495) [8400,44800] " , " (2) [1,2] " , " (1.6) [1,2] "
2 , 11 , 110 , 131 , 175 , 234 , 260 , " (0.3) [0,1] " , " (3.33333) [3,4] " , " (2) [1,2] " , " (4) [3,4] " , " (1142.45) [42000,72800] " , " (1.77667) [1,3] " , " (440.125) [50,455] " , " (1.5) [1,2] " , " (3730.4) [1000,4000] " , " (2.6) [0,7] " , " (2175.34) [2000,2350] " , " (1.33333) [1,2] " , " (19.8825) [15,30] " , " (14.8833) [616,1008] " , " (2.95833) [2,4] " , " (1.25) [1,2] " , " (8.5) [8,9] " , " (1.95) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (118.422) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
3 , 20 , 84 , 119 , 160 , 211 , 267 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1.33333) [1,2] " , " (3) [3,4] " , " (1169.1) [42000,72800] " , " (2.86667) [1,3] " , " (214.608) [50,455] " , " (2) [1,2] " , " (3523.51) [1000,4000] " , " (2.3) [0,7] " , " (2283.43) [2000,2350] " , " (1.5) [1,2] " , " (27.905) [15,30] " , " (12.095) [616,1008] " , " (2.75) [2,4] " , " (2) [1,2] " , " (8.9) [8,9] " , " (1.45) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (170.555) [8400,44800] " , " (2) [1,2] " , " (1.91667) [1,2] "
4 , 8 , 96 , 130 , 177 , 235 , 254 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.25) [3,4] " , " (1361.54) [42000,72800] " , " (2.83333) [1,3] " , " (411.917) [50,455] " , " (2) [1,2] " , " (1567.35) [1000,4000] " , " (4.1) [0,7] " , " (2052.69) [2000,2350] " , " (1.66667) [1,2] " , " (27.1264) [15,30] " , " (12.105) [616,1008] " , " (2.25196) [2,4] " , " (1.5) [1,2] " , " (8.85) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (237.659) [8400,44800] " , " (1.25) [1,2] " , " (1.5) [1,2] "
5 , 66 , 86 , 121 , 184 , 192 , 247 , " (0) [0,1] " , " (3.71667) [3,4] " , " (2) [1,2] " , " (3) [3,4] " , " (884) [42000,72800] " , " (2.63333) [1,3] " , " (253.175) [50,455] " , " (2) [1,2] " , " (3171.26) [1000,4000] " , " (2.99) [0,7] " , " (2221.29) [2000,2350] " , " (1.66667) [1,2] " , " (24.8233) [15,30] " , " (11.7967) [616,1008] " , " (2.11) [2,4] " , " (1.23143) [1,2] " , " (8.8) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (175.57) [8400,44800] " , " (1.5) [1,2] " , " (1.5) [1,2] "
6 , 18 , 112 , 129 , 153 , 211 , 259 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1.33333) [1,2] " , " (3.66667) [3,4] " , " (709.707) [42000,72800] " , " (1.98333) [1,3] " , " (165.008) [50,455] " , " (1.5) [1,2] " , " (2585.32) [1000,4000] " , " (6.53333) [0,7] " , " (2219.55) [2000,2350] " , " (1.6) [1,2] " , " (25.3657) [15,30] " , " (13.83) [616,1008] " , " (3) [2,4] " , " (1.07143) [1,2] " , " (8.8) [8,9] " , " (1.45) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (243.81) [8400,44800] " , " (2) [1,2] " , " (1.66667) [1,2] "
7 , 20 , 92 , 125 , 163 , 214 , 260 , " (0) [0,1] " , " (3.66667) [3,4] " , " (2) [1,2] " , " (3.01667) [3,4] " , " (1046.29) [42000,72800] " , " (2.58333) [1,3] " , " (266.145) [50,455] " , " (2) [1,2] " , " (1919.8) [1000,4000] " , " (6.58) [0,7] " , " (2279.77) [2000,2350] " , " (2) [1,2] " , " (26.0208) [15,30] " , " (13.63) [616,1008] " , " (3.125) [2,4] " , " (1.5) [1,2] " , " (8.15) [8,9] " , " (1.75) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (179.244) [8400,44800] " , " (2) [1,2] " , " (1.86667) [1,2] "
8 , 11 , 107 , 133 , 151 , 221 , 284 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1) [1,2] " , " (4) [3,4] " , " (853.9) [42000,72800] " , " (1.65333) [1,3] " , " (419.925) [50,455] " , " (2) [1,2] " , " (2269.85) [1000,4000] " , " (2.2) [0,7] " , " (2126.74) [2000,2350] " , " (1) [1,2] " , " (29.8783) [15,30] " , " (11.7267) [616,1008] " , " (4) [2,4] " , " (1.75) [1,2] " , " (9) [8,9] " , " (1.05) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (145.133) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
9 , 8 , 95 , 128 , 175 , 235 , 274 , " (0) [0,1] " , " (3.33333) [3,4] " , " (1) [1,2] " , " (3.6) [3,4] " , " (781.283) [42000,72800] " , " (2.6) [1,3] " , " (416.283) [50,455] " , " (1.5) [1,2] " , " (2113.93) [1000,4000] " , " (2.18) [0,7] " , " (2032.51) [2000,2350] " , " (1.66667) [1,2] " , " (28.5392) [15,30] " , " (11.7833) [616,1008] " , " (2.73529) [2,4] " , " (1.78571) [1,2] " , " (8.5) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (177.598) [8400,44800] " , " (1.75) [1,2] " , " (1.5) [1,2] "
10 , 24 , 99 , 117 , 180 , 192 , 294 , " (1) [0,1] " , " (3.16667) [3,4] " , " (1.66667) [1,2] " , " (3.3) [3,4] " , " (849.95) [42000,72800] " , " (1.70833) [1,3] " , " (228.85) [50,455] " , " (1.5) [1,2] " , " (2152.65) [1000,4000] " , " (6.94) [0,7] " , " (2271.78) [2000,2350] " , " (1.6) [1,2] " , " (27.2892) [15,30] " , " (12.325) [616,1008] " , " (3) [2,4] " , " (1.5) [1,2] " , " (9) [8,9] " , " (1.4) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (220.438) [8400,44800] " , " (1.75) [1,2] " , " (1) [1,2] "
11 , 17 , 103 , 130 , 184 , 214 , 246 , " (0) [0,1] " , " (3.96667) [3,4] " , " (1) [1,2] " , " (3.66667) [3,4] " , " (955.467) [42000,72800] " , " (1.13333) [1,3] " , " (436.543) [50,455] " , " (2) [1,2] " , " (3297.91) [1000,4000] " , " (5.9) [0,7] " , " (2101.99) [2000,2350] " , " (1) [1,2] " , " (22.4087) [15,30] " , " (8.26333) [616,1008] " , " (3.80294) [2,4] " , " (1.5) [1,2] " , " (8.5) [8,9] " , " (1.1) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (96.1625) [8400,44800] " , " (1.5) [1,2] " , " (1.6) [1,2] "
12 , 20 , 113 , 124 , 163 , 206 , 260 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1) [1,2] " , " (3.41667) [3,4] " , " (935.577) [42000,72800] " , " (2.96667) [1,3] " , " (183.385) [50,455] " , " (1.33333) [1,2] " , " (2309.31) [1000,4000] " , " (4.6) [0,7] " , " (2203.89) [2000,2350] " , " (1) [1,2] " , " (28.3742) [15,30] " , " (13.3527) [616,1008] " , " (3.29167) [2,4] " , " (1.5) [1,2] " , " (8.69) [8,9] " , " (1.75) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (182.764) [8400,44800] " , " (2) [1,2] " , " (1.76667) [1,2] "
13 , 66 , 96 , 122 , 137 , 192 , 272 , " (0) [0,1] " , " (3) [3,4] " , " (1) [1,2] " , " (3.75) [3,4] " , " (688.2) [42000,72800] " , " (2.51667) [1,3] " , " (243.675) [50,455] " , " (1.66667) [1,2] " , " (3287.96) [1000,4000] " , " (2.3) [0,7] " , " (2185.81) [2000,2350] " , " (1.6) [1,2] " , " (27.2194) [15,30] " , " (9.80333) [616,1008] " , " (2.01294) [2,4] " , " (1.66) [1,2] " , " (8.4) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (196.866) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
14 , 11 , 107 , 119 , 180 , 218 , 247 , " (1) [0,1] " , " (3.21667) [3,4] " , " (1.33333) [1,2] " , " (3.43333) [3,4] " , " (874.375) [42000,72800] " , " (1.28333) [1,3] " , " (416.475) [50,455] " , " (1.5) [1,2] " , " (2467.6) [1000,4000] " , " (5.77) [0,7] " , " (2012.13) [2000,2350] " , " (1) [1,2] " , " (21.2783) [15,30] " , " (9.90167) [616,1008] " , " (2.75) [2,4] " , " (1.25) [1,2] " , " (8.9) [8,9] " , " (1.05) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (64.3333) [8400,44800] " , " (1) [1,2] " , " (1.75) [1,2] "
15 , 31 , 95 , 132 , 145 , 221 , 242 , " (0.333333) [0,1] " , " (3.16667) [3,4] " , " (1) [1,2] " , " (3.6) [3,4] " , " (1171.08) [42000,72800] " , " (2.85833) [1,3] " , " (182.018) [50,455] " , " (1.35) [1,2] " , " (3237.59) [1000,4000] " , " (2.68) [0,7] " , " (2172.07) [2000,2350] " , " (2) [1,2] " , " (24.1745) [15,30] " , " (11.6217) [616,1008] " , " (3.7) [2,4] " , " (1.28571) [1,2] " , " (8.5) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (279.966) [8400,44800] " , " (1.75) [1,2] " , " (2) [1,2] "
16 , 20 , 99 , 117 , 175 , 235 , 260 , " (0) [0,1] " , " (3.33333) [3,4] " , " (2) [1,2] " , " (3.3) [3,4] " , " (921.177) [42000,72800] " , " (1.575) [1,3] " , " (156.133) [50,455] " , " (1.5) [1,2] " , " (2103.46) [1000,4000] " , " (3.14) [0,7] " , " (2296.41) [2000,2350] " , " (1.6) [1,2] " , " (25.3442) [15,30] " , " (12.87) [616,1008] " , " (2.83333) [2,4] " , " (1.5) [1,2] " , " (8.9) [8,9] " , " (2) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (201.09) [8400,44800] " , " (1.5) [1,2] " , " (1.66667) [1,2] "
17 , 18 , 84 , 133 , 149 , 214 , 246 , " (0) [0,1] " , " (3.8) [3,4] " , " (2) [1,2] " , " (3.41667) [3,4] " , " (956.55) [42000,72800] " , " (2.33333) [1,3] " , " (195.778) [50,455] " , " (1.71429) [1,2] " , " (3366.77) [1000,4000] " , " (5.5) [0,7] " , " (2141) [2000,2350] " , " (1) [1,2] " , " (20.6967) [15,30] " , " (10.9986) [616,1008] " , " (2) [2,4] " , " (1) [1,2] " , " (8.3) [8,9] " , " (1.85) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (45.6633) [8400,44800] " , " (1.5) [1,2] " , " (1.76667) [1,2] "
18 , 11 , 112 , 130 , 153 , 231 , 288 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1.33333) [1,2] " , " (3.76667) [3,4] " , " (576.376) [42000,72800] " , " (2.2) [1,3] " , " (421.835) [50,455] " , " (1.71429) [1,2] " , " (3206.31) [1000,4000] " , " (6.76333) [0,7] " , " (2075.34) [2000,2350] " , " (1.93333) [1,2] " , " (22.6007) [15,30] " , " (12.0619) [616,1008] " , " (2.5) [2,4] " , " (1.32143) [1,2] " , " (8.13333) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (181.588) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
19 , 66 , 86 , 121 , 184 , 192 , 247 , " (0) [0,1] " , " (3.71667) [3,4] " , " (2) [1,2] " , " (3) [3,4] " , " (884) [42000,72800] " , " (2.63333) [1,3] " , " (253.175) [50,455] " , " (2) [1,2] " , " (3171.26) [1000,4000] " , " (2.99) [0,7] " , " (2221.29) [2000,2350] " , " (1.66667) [1,2] " , " (24.8233) [15,30] " , " (11.7967) [616,1008] " , " (2.11) [2,4] " , " (1.23143) [1,2] " , " (8.8) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (175.57) [8400,44800] " , " (1.5) [1,2] " , " (1.5) [1,2] "
20 , 20 , 92 , 134 , 163 , 214 , 260 , " (0) [0,1] " , " (3.66667) [3,4] " , " (2) [1,2] " , " (3.01667) [3,4] " , " (1046.29) [42000,72800] " , " (2.68333) [1,3] " , " (266.145) [50,455] " , " (2) [1,2] " , " (1919.66) [1000,4000] " , " (6.58) [0,7] " , " (2281.57) [2000,2350] " , " (2) [1,2] " , " (26.1608) [15,30] " , " (13.63) [616,1008] " , " (3.125) [2,4] " , " (1.5) [1,2] " , " (8.15) [8,9] " , " (1.75) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (181.614) [8400,44800] " , " (2) [1,2] " , " (1.86667) [1,2] "
21 , 8 , 95 , 119 , 175 , 235 , 274 , " (0) [0,1] " , " (3.33333) [3,4] " , " (1.33333) [1,2] " , " (3.6) [3,4] " , " (784.658) [42000,72800] " , " (2.08333) [1,3] " , " (435.783) [50,455] " , " (1.5) [1,2] " , " (2179.53) [1000,4000] " , " (2.88) [0,7] " , " (2092.33) [2000,2350] " , " (1.66667) [1,2] " , " (29.613) [15,30] " , " (12.0083) [616,1008] " , " (2.73529) [2,4] " , " (2) [1,2] " , " (8.5) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (150.476) [8400,44800] " , " (1.75) [1,2] " , " (1.75) [1,2] "
22 , 11 , 88 , 125 , 143 , 211 , 283 , " (0) [0,1] " , " (3.56667) [3,4] " , " (1) [1,2] " , " (3.95) [3,4] " , " (1048.9) [42000,72800] " , " (2.57667) [1,3] " , " (448.075) [50,455] " , " (2) [1,2] " , " (3273.23) [1000,4000] " , " (1.96) [0,7] " , " (2169.96) [2000,2350] " , " (1.4) [1,2] " , " (28.3883) [15,30] " , " (11.9) [616,1008] " , " (2.66667) [2,4] " , " (1.75) [1,2] " , " (8.5) [8,9] " , " (1.65) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (151.538) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
23 , 24 , 99 , 117 , 180 , 192 , 294 , " (1) [0,1] " , " (3.16667) [3,4] " , " (1.66667) [1,2] " , " (3.3) [3,4] " , " (849.95) [42000,72800] " , " (1.70833) [1,3] " , " (228.85) [50,455] " , " (1.5) [1,2] " , " (2152.65) [1000,4000] " , " (6.94) [0,7] " , " (2271.78) [2000,2350] " , " (1.6) [1,2] " , " (27.2892) [15,30] " , " (12.325) [616,1008] " , " (3) [2,4] " , " (1.5) [1,2] " , " (9) [8,9] " , " (1.4) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (220.438) [8400,44800] " , " (1.75) [1,2] " , " (1) [1,2] "
24 , 31 , 107 , 132 , 184 , 214 , 280 , " (0.333333) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.7) [3,4] " , " (1162.6) [42000,72800] " , " (1.975) [1,3] " , " (269) [50,455] " , " (2) [1,2] " , " (3742.72) [1000,4000] " , " (3.86) [0,7] " , " (2211.35) [2000,2350] " , " (1.33333) [1,2] " , " (21.5345) [15,30] " , " (11.2) [616,1008] " , " (3.2) [2,4] " , " (1.03571) [1,2] " , " (8.5) [8,9] " , " (1.1) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (193.177) [8400,44800] " , " (2) [1,2] " , " (2) [1,2] "
25 , 11 , 109 , 131 , 152 , 217 , 260 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1.40476) [1,2] " , " (3.61667) [3,4] " , " (949.85) [42000,72800] " , " (2.62) [1,3] " , " (449.592) [50,455] " , " (1.33333) [1,2] " , " (2486.27) [1000,4000] " , " (4.86238) [0,7] " , " (2087.14) [2000,2350] " , " (1.33333) [1,2] " , " (23.3483) [15,30] " , " (12) [616,1008] " , " (2.33333) [2,4] " , " (1.25) [1,2] " , " (8.75) [8,9] " , " (1.95) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (142.767) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
26 , 66 , 95 , 121 , 175 , 192 , 274 , " (0) [0,1] " , " (3.83333) [3,4] " , " (1) [1,2] " , " (3.1) [3,4] " , " (776.733) [42000,72800] " , " (2.31667) [1,3] " , " (216.608) [50,455] " , " (1.5) [1,2] " , " (2479.68) [1000,4000] " , " (2.08) [0,7] " , " (2075.33) [2000,2350] " , " (1.33333) [1,2] " , " (26.6566) [15,30] " , " (11.72) [616,1008] " , " (2.66) [2,4] " , " (1.23143) [1,2] " , " (8.9) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (146.797) [8400,44800] " , " (1.75) [1,2] " , " (1.5) [1,2] "
27 , 8 , 96 , 130 , 177 , 235 , 254 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.25) [3,4] " , " (1361.54) [42000,72800] " , " (2.83333) [1,3] " , " (411.917) [50,455] " , " (2) [1,2] " , " (1567.35) [1000,4000] " , " (4.1) [0,7] " , " (2052.69) [2000,2350] " , " (1.66667) [1,2] " , " (27.1264) [15,30] " , " (12.105) [616,1008] " , " (2.25196) [2,4] " , " (1.5) [1,2] " , " (8.85) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (237.659) [8400,44800] " , " (1.25) [1,2] " , " (1.5) [1,2] "
