DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
1 , 11 , 112 , 129 , 147 , 193 , 260 , 134 , 143 , " (0,0) [0,1] " , " (3.33333,3.16667) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.08333,3.16667) [3,4] " , " (910.51,858.3) [10500,18200] " , " (2.55,2.47667) [1,3] " , " (430.117,418.925) [50,455] " , " (2,2) [1,2] " , " (3831.35,2939.73) [1000,4000] " , " (4.78333,4.33333) [0,7] " , " (2112.23,2211.25) [2000,2350] " , " (1.6,1.6) [1,2] " , " (22.3183,29.7183) [15,30] " , " (11.66,10.26) [154,252] " , " (2.28333,2.5) [2,4] " , " (1.25,1.75) [1,2] " , " (8.5,9) [8,9] " , " (2,1.95) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (123.013,112.67) [2100,11200] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
2 , 66 , 92 , 123 , 151 , 192 , 248 , 136 , 185 , " (0,0) [0,1] " , " (3.71667,3.71667) [3,4] " , " (1,1) [1,2] " , " (3.11667,3.06667) [3,4] " , " (961.11,953.21) [10500,18200] " , " (2.17,2.23333) [1,3] " , " (335.962,355.762) [50,455] " , " (2,2) [1,2] " , " (2643.2,2889.5) [1000,4000] " , " (6.8,6.39) [0,7] " , " (2194.03,2192.56) [2000,2350] " , " (2,2) [1,2] " , " (25.8323,20.888) [15,30] " , " (12.91,11.61) [154,252] " , " (2.32667,2.42667) [2,4] " , " (1.66,1.23143) [1,2] " , " (8.15,8.65) [8,9] " , " (1.15,1.15) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (126.985,143.255) [2100,11200] " , " (2,2) [1,2] " , " (1.7,1.7) [1,2] "
3 , 31 , 96 , 126 , 145 , 221 , 267 , 135 , 145 , " (0.333333,0.333333) [0,1] " , " (3.16667,3.16667) [3,4] " , " (1,1) [1,2] " , " (3.66667,3.66667) [3,4] " , " (1123.25,1122.45) [10500,18200] " , " (2.94167,2.29167) [1,3] " , " (194.117,194.117) [50,455] " , " (1,1) [1,2] " , " (2968.88,3128.42) [1000,4000] " , " (6.7,6.7) [0,7] " , " (2099.1,2074.6) [2000,2350] " , " (1.16667,1.16667) [1,2] " , " (25.0817,23.7717) [15,30] " , " (11.7567,11.6167) [154,252] " , " (3.7,3.7) [2,4] " , " (1,1) [1,2] " , " (8.2,8) [8,9] " , " (1,1) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (433.611,345.451) [2100,11200] " , " (2,2) [1,2] " , " (2,2) [1,2] "
4 , 11 , 112 , 125 , 143 , 193 , 260 , 131 , 160 , " (0,0) [0,1] " , " (3.16667,3.16667) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.16667,3.66667) [3,4] " , " (858.3,883.5) [10500,18200] " , " (2.37667,2.54333) [1,3] " , " (418.925,418.925) [50,455] " , " (2,2) [1,2] " , " (2939.87,2938.81) [1000,4000] " , " (4.33333,4.53333) [0,7] " , " (2209.45,2156.48) [2000,2350] " , " (1.6,1.6) [1,2] " , " (29.5783,23.0033) [15,30] " , " (10.26,10.56) [154,252] " , " (2.5,2.08333) [2,4] " , " (1.75,1.25) [1,2] " , " (9,9) [8,9] " , " (1.95,1.95) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (110.3,142.478) [2100,11200] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
5 , 66 , 113 , 119 , 185 , 192 , 248 , 120 , 151 , " (0,0) [0,1] " , " (3.71667,3.71667) [3,4] " , " (1.33333,1) [1,2] " , " (3.55,3.35) [3,4] " , " (829.375,836.513) [10500,18200] " , " (2.08333,2.14667) [1,3] " , " (278.085,247.385) [50,455] " , " (1.33333,2) [1,2] " , " (3144.44,2809.11) [1000,4000] " , " (3.11,2.27) [0,7] " , " (2188.59,2180.35) [2000,2350] " , " (1,1) [1,2] " , " (20.319,25.5937) [15,30] " , " (11.1577,12.4193) [154,252] " , " (2.59333,2.49333) [2,4] " , " (1.16,1.66) [1,2] " , " (8.69,8.32333) [8,9] " , " (1.15,1.15) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (104.481,108.495) [2100,11200] " , " (2,2) [1,2] " , " (1.85,1.6) [1,2] "
6 , 20 , 84 , 134 , 181 , 227 , 246 , 128 , 175 , " (0,0) [0,1] " , " (3.46667,3.13333) [3,4] " , " (1,1) [1,2] " , " (3.66667,3.66667) [3,4] " , " (1168.58,1040.18) [10500,18200] " , " (1.93333,1.46667) [1,3] " , " (225.835,173.085) [50,455] " , " (1.5,1.5) [1,2] " , " (3176.2,3583.02) [1000,4000] " , " (5.7,3.4) [0,7] " , " (2242.08,2245.12) [2000,2350] " , " (1.66667,1) [1,2] " , " (24.92,27.0779) [15,30] " , " (10.5667,12.4) [154,252] " , " (2.66667,3.66667) [2,4] " , " (1.5,1.78571) [1,2] " , " (8.9,8.9) [8,9] " , " (1.85,1.85) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (104.702,83.7117) [2100,11200] " , " (1.5,1.5) [1,2] " , " (1.76667,1.76667) [1,2] "
7 , 66 , 96 , 118 , 151 , 235 , 272 , 129 , 185 , " (0,0) [0,1] " , " (3.16667,3.16667) [3,4] " , " (1.66667,1.66667) [1,2] " , " (3.5,3.7) [3,4] " , " (664.95,682.25) [10500,18200] " , " (1.80333,1.83333) [1,3] " , " (228.6,251.4) [50,455] " , " (1,1) [1,2] " , " (2556.34,2800.14) [1000,4000] " , " (2.5,2.64) [0,7] " , " (2174.63,2125.77) [2000,2350] " , " (1.6,1.6) [1,2] " , " (27.3473,21.9507) [15,30] " , " (11.37,9.87) [154,252] " , " (2.16,2.26) [2,4] " , " (1.66,1.16) [1,2] " , " (8.4,8.4) [8,9] " , " (1,1) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (183.207,187.448) [2100,11200] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
8 , 11 , 112 , 132 , 147 , 193 , 260 , 125 , 143 , " (0,0) [0,1] " , " (3.33333,3.16667) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.08333,3.16667) [3,4] " , " (883.21,858.3) [10500,18200] " , " (2.83333,2.37667) [1,3] " , " (430.117,418.925) [50,455] " , " (2,2) [1,2] " , " (3601.33,2939.87) [1000,4000] " , " (4.78333,4.33333) [0,7] " , " (2101.69,2209.45) [2000,2350] " , " (1.6,1.6) [1,2] " , " (20.8379,29.5783) [15,30] " , " (11.56,10.26) [154,252] " , " (2.28333,2.5) [2,4] " , " (1.03571,1.75) [1,2] " , " (8.5,9) [8,9] " , " (2,1.95) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (128.962,110.3) [2100,11200] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
9 , 78 , 85 , 128 , 145 , 211 , 241 , 117 , 145 , " (0,0) [0,1] " , " (3.66667,3.66667) [3,4] " , " (1.24359,1.24359) [1,2] " , " (3.65,3.95) [3,4] " , " (1278.45,1282.95) [10500,18200] " , " (2.93333,2.78333) [1,3] " , " (124.225,161.625) [50,455] " , " (1.66667,1.66667) [1,2] " , " (2609.41,2609.36) [1000,4000] " , " (3.59692,3.83692) [0,7] " , " (2080.13,2115.55) [2000,2350] " , " (1.26667,1.26667) [1,2] " , " (24.2897,22.3669) [15,30] " , " (8.16,8.66) [154,252] " , " (2.09314,2.09314) [2,4] " , " (1.28571,1) [1,2] " , " (8.7,8.7) [8,9] " , " (1.45,1.45) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (167.63,163.96) [2100,11200] " , " (1,2) [1,2] " , " (2,2) [1,2] "
10 , 66 , 96 , 133 , 151 , 192 , 272 , 122 , 137 , " (0,0) [0,1] " , " (3.66667,3) [3,4] " , " (1,1) [1,2] " , " (3.5,3.75) [3,4] " , " (703.9,688.2) [10500,18200] " , " (1.90333,2.51667) [1,3] " , " (232.075,243.675) [50,455] " , " (1,1.66667) [1,2] " , " (2564.28,3287.96) [1000,4000] " , " (2.2,2.3) [0,7] " , " (2158.36,2185.81) [2000,2350] " , " (1.6,1.6) [1,2] " , " (26.8973,27.2194) [15,30] " , " (10.97,9.80333) [154,252] " , " (2.16,2.01294) [2,4] " , " (1.66,1.66) [1,2] " , " (8.4,8.4) [8,9] " , " (1.15,1.15) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (177.947,196.866) [2100,11200] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
11 , 11 , 112 , 131 , 160 , 193 , 260 , 132 , 147 , " (0,0) [0,1] " , " (3.16667,3.33333) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.66667,3.08333) [3,4] " , " (883.5,883.21) [10500,18200] " , " (2.54333,2.83333) [1,3] " , " (418.925,430.117) [50,455] " , " (2,2) [1,2] " , " (2938.81,3601.33) [1000,4000] " , " (4.53333,4.78333) [0,7] " , " (2156.48,2101.69) [2000,2350] " , " (1.6,1.6) [1,2] " , " (23.0033,20.8379) [15,30] " , " (10.56,11.56) [154,252] " , " (2.08333,2.28333) [2,4] " , " (1.25,1.03571) [1,2] " , " (9,8.5) [8,9] " , " (1.95,2) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (142.478,128.962) [2100,11200] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
12 , 20 , 84 , 127 , 175 , 227 , 246 , 134 , 181 , " (0,0) [0,1] " , " (3.13333,3.46667) [3,4] " , " (1,1) [1,2] " , " (3.66667,3.66667) [3,4] " , " (1040.18,1168.58) [10500,18200] " , " (2.36667,1.93333) [1,3] " , " (173.085,225.835) [50,455] " , " (1.5,1.5) [1,2] " , " (3580.72,3176.2) [1000,4000] " , " (3.4,5.7) [0,7] " , " (2232.33,2242.08) [2000,2350] " , " (1,1.66667) [1,2] " , " (27.135,24.92) [15,30] " , " (12.4,10.5667) [154,252] " , " (3.66667,2.66667) [2,4] " , " (1.5,1.5) [1,2] " , " (8.9,8.9) [8,9] " , " (1.85,1.85) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (92.4817,104.702) [2100,11200] " , " (1.5,1.5) [1,2] " , " (1.76667,1.76667) [1,2] "
13 , 66 , 113 , 124 , 151 , 235 , 248 , 119 , 185 , " (0,0) [0,1] " , " (3.21667,3.21667) [3,4] " , " (1.66667,2) [1,2] " , " (3.35,3.55) [3,4] " , " (795.85,791.325) [10500,18200] " , " (2.68667,2.08333) [1,3] " , " (232.31,274.61) [50,455] " , " (1.33333,1.33333) [1,2] " , " (2804.33,3135.71) [1000,4000] " , " (2.57,3.41) [0,7] " , " (2174.35,2203.66) [2000,2350] " , " (1,1) [1,2] " , " (26.8323,20.319) [15,30] " , " (12.2327,11.1577) [154,252] " , " (2.49333,2.59333) [2,4] " , " (1.66,1.16) [1,2] " , " (8.19,8.69) [8,9] " , " (1,1) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (132.853,104.481) [2100,11200] " , " (2,2) [1,2] " , " (1.6,1.85) [1,2] "
14 , 18 , 112 , 129 , 153 , 211 , 291 , 131 , 153 , " (0,0) [0,1] " , " (3.66667,3.66667) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.91667,3.91667) [3,4] " , " (745.957,745.957) [10500,18200] " , " (2.81,2.82) [1,3] " , " (159.958,159.958) [50,455] " , " (2,2) [1,2] " , " (3216.64,3216.55) [1000,4000] " , " (6.73333,6.73333) [0,7] " , " (2211.42,2210.65) [2000,2350] " , " (1.6,1.6) [1,2] " , " (23.6657,23.6657) [15,30] " , " (14,14) [154,252] " , " (2,2) [2,4] " , " (1.07143,1.07143) [1,2] " , " (8.6,8.6) [8,9] " , " (1.45,1.45) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (182.97,182.97) [2100,11200] " , " (2,2) [1,2] " , " (1.66667,1.66667) [1,2] "
